Q #,Scenario,,Question,,,Options,,,,,Correct Answer,,,,,,,,,,,Rationale,,,,,HIPAA Section,Workforce Group,,HIPAA Rule,,,,,,,HIPAA Topic Name,,,,,,,,,Description of Topic (OCR Audited Focus),,,,,
325,,Scenario: NIST Risk Assessment: The Security Official is following NIST SP 800-66r2 guidance to conduct the required HIPAA risk analysis. They are currently identifying threat events and vulnerabilities.,"""Confidentiality"" is defined as the property that data or information is not made available or disclosed to:",,,A. Business associates without a BAA.B. Unauthorized persons or processes.C. Any individual without signed authorization.D. Public health authorities.,,,,,,,,,,B. Unauthorized persons or processes.,,,,,Confidentiality is the property that data or information is not made available or disclosed to unauthorized persons or processes.,,,,§ 164.304,,,"IT/Security, All Staff",,,,,Security Rule,,,,Security program – general duties,,,,"Overarching duty to ensure confidentiality, integrity, and availability of all ePHI.",,,,,,,,,,
326,,"Scenario: NIST Risk Assessment Preparation: The team is starting the ""Prepare for the Assessment"" step. They are mapping how ePHI moves through their startup.","During preparation, the scope of a risk assessment must include all of the following EXCEPT:",,,A. Physical boundaries of the facility.B. Logical boundaries (devices and media containing ePHI).C. Removable media and portable computing devices.D. Internal financial payroll records not containing patient data.,,,,,,,,,,D. Internal financial payroll records not containing patient data.,,,,,"Scope includes physical and logical boundaries of ePHI, including removable media and portable devices, regardless of location.",,,,§ 164.308(a)(1)(ii)(A),,,IT/Security Staff,,,,,Security Rule,,,,Security risk analysis,,,,"Guidance on preparation for risk assessments, identifying ePHI flow and system inventory.",,,,,,,,,,
327,,"Scenario: NIST Risk Assessment Preparation: The team is starting the ""Prepare for the Assessment"" step. They are mapping how ePHI moves through their startup.","When identifying threat sources, which of the following is an example of a ""Human"" threat source?",,,A. Earthquake or flood.B. Inadvertent data entry or network-based attacks.C. Power surges or liquid leaks.D. Infrastructure failure.,,,,,,,,,,B. Inadvertent data entry or network-based attacks.,,,,,Human threat sources include unintentional acts (data entry error) or deliberate actions (network attacks).,,,,§ 164.308(a)(1)(ii)(A),,,IT/Security Staff,,,,,Security Rule,,,,Security risk analysis,,,,"Taxonomy of threat sources including human, natural, and environmental.",,,,,,,,,,
328,,"Scenario: NIST Risk Assessment Preparation: The team is starting the ""Prepare for the Assessment"" step. They are mapping how ePHI moves through their startup.","A ""vulnerability"" is defined by NIST as which of the following?",,,A. A circumstance that can have a negative impact on ePHI.B. A flaw or weakness that could be exploited by a threat source.C. The probability that a threat event is capable of causing harm.D. The magnitude of harm expected to result from a loss.,,,,,,,,,,B. A flaw or weakness that could be exploited by a threat source.,,,,,"Vulnerabilities are flaws or weaknesses in a system, procedures, or internal controls that could be exploited.",,,,§ 164.304,,,IT/Security Staff,,,,,Security Rule,,,,Security program – general duties,,,,"Definitions of key terms like vulnerability, threat, and risk.",,,,,,,,,,
329,,"Scenario: NIST Risk Assessment Preparation: The team is starting the ""Prepare for the Assessment"" step. They are mapping how ePHI moves through their startup.","The ""Likelihood"" rating in a risk assessment refers to the:",,,A. Magnitude of harm to the organization.B. Probability that a threat event will exploit a vulnerability.C. Number of records compromised in a breach.D. Financial cost of a data breach.,,,,,,,,,,B. Probability that a threat event will exploit a vulnerability.,,,,,Likelihood refers to the probability that a given threat event is capable of exploiting a given vulnerability to cause harm.,,,,§ 164.308(a)(1)(ii)(A),,,IT/Security Staff,,,,,Security Rule,,,,Security risk analysis,,,,Guidance on determining the likelihood of a threat exploiting a vulnerability.,,,,,,,,,,
330,,"Scenario: NIST Risk Assessment Preparation: The team is starting the ""Prepare for the Assessment"" step. They are mapping how ePHI moves through their startup.","""Impact"" refers to the magnitude of harm expected to result from:",,,"A. The costs of a security audit.B. The loss of confidentiality, integrity, and/or availability of ePHI.C. A failure to update the Notice of Privacy Practices.D. Any violation of a Business Associate Agreement.",,,,,,,,,,"B. The loss of confidentiality, integrity, and/or availability of ePHI.",,,,,"Impact is the magnitude of harm resulting from the loss of confidentiality, integrity, and/or availability of ePHI.",,,,§ 164.308(a)(1)(ii)(A),,,IT/Security Staff,,,,,Security Rule,,,,Security risk analysis,,,,Guidance on determining the impact of a threat exploiting a vulnerability.,,,,,,,,,,
331,,Scenario: Strategic Risk Management: Startup leadership is defining its high-level stance on security risks to guide the IT team's remediation priorities.,"""Risk Appetite"" is defined as the types and amount of risk that:",,,A. The IT team is willing to manage daily.B. Senior leaders are willing to accept in pursuit of mission objectives.C. A health plan determines is acceptable for its enrollees.D. Is legally permitted by the Secretary of HHS.,,,,,,,,,,B. Senior leaders are willing to accept in pursuit of mission objectives.,,,,,Risk appetite is declared at the enterprise level and provides a guidepost to the amount of risk senior leaders are willing to accept.,,,,§ 164.308(a)(1)(ii)(B),,,Management/Leadership,,,,,Security Rule,,,,Security risk management,,,,Definitions of risk appetite and risk tolerance in organizational strategy.,,,,,,,,,,
332,,Scenario: Strategic Risk Management: Startup leadership is defining its high-level stance on security risks to guide the IT team's remediation priorities.,"""Risk Tolerance"" differs from risk appetite because it represents:",,,A. The specific level of performance risk deemed acceptable within the risk appetite.B. The total number of security violations per year.C. The amount of insurance coverage the entity holds.D. The maximum duration of a system outage.,,,,,,,,,,A. The specific level of performance risk deemed acceptable within the risk appetite.,,,,,Risk tolerance represents the specific level of performance risk deemed acceptable within the overall risk appetite.,,,,§ 164.308(a)(1)(ii)(B),,,Management/Leadership,,,,,Security Rule,,,,Security risk management,,,,Definitions of risk appetite and risk tolerance in organizational strategy.,,,,,,,,,,
333,,Scenario: Strategic Risk Management: Startup leadership is defining its high-level stance on security risks to guide the IT team's remediation priorities.,"If an unacceptable level of risk to ePHI cannot be adequately treated in a cost-effective manner, NIST suggests the risk should be:",,,"A. Accepted and documented.B. Transferred to a business associate.C. Avoided, potentially by redesigning systems or processes.D. Reported to the media.",,,,,,,,,,"C. Avoided, potentially by redesigning systems or processes.",,,,,"If an unacceptable level of risk cannot be adequately treated cost-effectively, that risk should be avoided, which may require redesigning processes.",,,,§ 164.308(a)(1)(ii)(B),,,Management/Leadership,,,,,Security Rule,,,,Security risk management,,,,Guidance on selecting security controls and handling unacceptable risk.,,,,,,,,,,
334,,Scenario: Strategic Risk Management: Startup leadership is defining its high-level stance on security risks to guide the IT team's remediation priorities.,"When must a ""subsequent"" Evaluation of security policies be performed?",,,A. Only during a leap year.B. Every 90 days regardless of status.C. In response to environmental or operational changes affecting ePHI security.D. Only after a Civil Money Penalty has been imposed.,,,,,,,,,,C. In response to environmental or operational changes affecting ePHI security.,,,,,Evaluations must be repeated periodically and subsequently in response to environmental or operational changes affecting ePHI security.,,,,§ 164.308(a)(8),,,"IT/Security, Management",,,,,Security Rule,,,,Periodic security evaluation,,,,Requirement for periodic technical and nontechnical evaluations.,,,,,,,,,,
335,,Scenario: Strategic Risk Management: Startup leadership is defining its high-level stance on security risks to guide the IT team's remediation priorities.,"The standard for ""Assigned Security Responsibility"" requires identifying a security official responsible for:",,,A. Only the technical safeguards.B. Only the physical access logs.C. The development and implementation of the policies and procedures required by the Security Subpart.D. Fulfilling the duties of the Privacy Official.,,,,,,,,,,C. The development and implementation of the policies and procedures required by the Security Subpart.,,,,,Assigned Security Responsibility requires identifying the security official responsible for the development and implementation of the policies and procedures required by this subpart.,,,,§ 164.308(a)(2),,,Management/Leadership,,,,,Security Rule,,,,Assigned security responsibility,,,,Designation of a security official responsible for Security Rule implementation.,,,,,,,,,,
336,,"Scenario: Workforce and Access: The startup is implementing the ""Workforce Security"" standard and needs to ensure their policies align with the NIST implementation descriptions.","The primary goal of ""Workforce Security"" is to ensure appropriate ePHI access and:",,,A. Implement automatic logoff on all mobile devices.B. Prevent unauthorized access by those workforce members who do not have access rights.C. Maintain a record of all media movements.D. Verify the identity of the personal representative.,,,,,,,,,,B. Prevent unauthorized access by those workforce members who do not have access rights.,,,,,Workforce Security requires implementing policies to ensure appropriate access for members and to prevent access for those without rights.,,,,§ 164.308(a)(3)(i),,,"Management, IT/Security",,,,,Security Rule,,,,Workforce security,,,,Ensuring appropriate ePHI access and preventing unauthorized access.,,,,,,,,,,
337,,"Scenario: Workforce and Access: The startup is implementing the ""Workforce Security"" standard and needs to ensure their policies align with the NIST implementation descriptions.","When employment ends, which of the following is suggested by NIST as a part of a standard ""Termination Procedure""?",,,A. Providing the individual with a copy of their personnel file.B. Deactivating computer access accounts and facility access.C. Changing the Notice of Privacy Practices.D. Updating the risk appetite statement.,,,,,,,,,,B. Deactivating computer access accounts and facility access.,,,,,Termination Procedures include deactivating computer accounts (user IDs/passwords) and facility access.,,,,§ 164.308(a)(3)(ii)(C),,,"IT/Security Staff, Admin",,,,,Security Rule,,,,Workforce security,,,,Procedures for terminating access when employment or arrangements end.,,,,,,,,,,
338,,"Scenario: Workforce and Access: The startup is implementing the ""Workforce Security"" standard and needs to ensure their policies align with the NIST implementation descriptions.","If a health care clearinghouse is part of a larger organization, ""Information Access Management"" requires it to implement policies to:",,,A. Share all ePHI with the larger organization for health care operations.B. Protect the ePHI of the clearinghouse from unauthorized access by the larger organization.C. Consolidate its risk assessment with the larger organization.D. Waive the requirement for unique user identification.,,,,,,,,,,B. Protect the ePHI of the clearinghouse from unauthorized access by the larger organization.,,,,,Clearinghouses part of a larger organization must protect their ePHI from unauthorized access by the larger organization.,,,,§ 164.308(a)(4)(ii)(A),,,"IT/Security Staff, Management",,,,,Security Rule,,,,Information access management,,,,Requirement to isolate clearinghouse functions within a larger organization.,,,,,,,,,,
339,,"Scenario: Training and Malware: The IT team is developing the ""Security Awareness and Training"" program for the entire workforce.","Providing ""periodic security updates"" to the workforce is the definition of which addressable implementation specification?",,,A. Protection from Malicious Software.B. Log-in Monitoring.C. Password Management.D. Security Reminders.,,,,,,,,,,D. Security Reminders.,,,,,Security Reminders are periodic security updates provided to the workforce.,,,,§ 164.308(a)(5)(ii)(A),,,"All Staff, Management",,,,,Security Rule,,,,Security awareness and training,,,,Requirement for periodic security updates known as security reminders.,,,,,,,,,,
340,,"Scenario: Training and Malware: The IT team is developing the ""Security Awareness and Training"" program for the entire workforce.","Training workforce members on the ""importance of the timely application of system patches"" primarily addresses which implementation specification?",,,A. Transmission Security.B. Access Control.C. Protection from Malicious Software.D. Media Re-use.,,,,,,,,,,C. Protection from Malicious Software.,,,,,Patching is crucial for protecting against malicious software and exploitation of vulnerabilities.,,,,§ 164.308(a)(5)(ii)(B),,,"All Staff, IT/Security",,,,,Security Rule,,,,Security awareness and training,,,,"Procedures for guarding against, detecting, and reporting malicious software.",,,,,,,,,,
341,,Scenario: Incidents and Contingency: The IT team is documenting their response to a server outage and preparing for future emergencies.,"A ""Security Incident"" is defined under HIPAA as the attempted or successful unauthorized access or:",,,A. Any failure of a software update.B. Interference with system operations in an information system.C. Use of a non-standard transaction format.D. Refusal of a patient to sign an NPP.,,,,,,,,,,B. Interference with system operations in an information system.,,,,,"A security incident means the attempted or successful unauthorized access, use, disclosure, modification, or destruction of info or interference with system operations.",,,,§ 164.304,,,"IT/Security Staff, Management",,,,,Security Rule,,,,Security program – general duties,,,,Definition of a security incident.,,,,,,,,,,
342,,Scenario: Incidents and Contingency: The IT team is documenting their response to a server outage and preparing for future emergencies.,"The ""Contingency Plan"" standard requires policies for responding to emergencies that damage systems containing ePHI, specifically including:",,,"A. Fire, vandalism, system failure, and natural disaster.B. Any HIPAA violation by a business associate.C. Changes in a patient's insurance coverage.D. A workforce member's request for an accounting.",,,,,,,,,,"A. Fire, vandalism, system failure, and natural disaster.",,,,,"The standard lists examples like fire, vandalism, system failure, and natural disasters as occurrences that damage systems.",,,,§ 164.308(a)(7)(i),,,"IT/Security, Management",,,,,Security Rule,,,,Contingency planning,,,,Policies for responding to occurrences that damage ePHI systems.,,,,,,,,,,
343,,Scenario: Incidents and Contingency: The IT team is documenting their response to a server outage and preparing for future emergencies.,"The addressable specification ""Applications and Data Criticality Analysis"" requires the entity to:",,,A. Maintain audit logs for 6 years.B. Assess the relative criticality of specific applications and data in support of other plan components.C. Encrypt all databases at rest.D. Terminate access for all contractors during an emergency.,,,,,,,,,,B. Assess the relative criticality of specific applications and data in support of other plan components.,,,,,This specification involves identifying activities and material involving ePHI that are critical to business operations.,,,,§ 164.308(a)(7)(ii)(E),,,"IT/Security, Management",,,,,Security Rule,,,,Contingency planning,,,,Assessing relative criticality of applications and data for contingency planning.,,,,,,,,,,
344,,Scenario: Incidents and Contingency: The IT team is documenting their response to a server outage and preparing for future emergencies.,"The required standard to ""create and maintain retrievable exact copies of electronic protected health information"" is the:",,,A. Disaster Recovery Plan.B. Data Backup Plan.C. Emergency Mode Operation Plan.D. Facility Security Plan.,,,,,,,,,,B. Data Backup Plan.,,,,,The Data Backup Plan standard requires establishing procedures to create and maintain retrievable exact copies of ePHI.,,,,§ 164.308(a)(7)(ii)(A),,,IT/Security Staff,,,,,Security Rule,,,,Contingency planning,,,,Requirement to create and maintain retrievable exact copies of ePHI.,,,,,,,,,,
345,,Scenario: Incidents and Contingency: The IT team is documenting their response to a server outage and preparing for future emergencies.,"Establishing procedures to ""enable continuation of critical business processes"" while in emergency mode is the:",,,A. Disaster Recovery Plan.B. Data Backup Plan.C. Emergency Mode Operation Plan.D. Risk Management Plan.,,,,,,,,,,C. Emergency Mode Operation Plan.,,,,,The Emergency Mode Operation Plan requires procedures for the continuation of critical business processes to protect ePHI security in emergency mode.,,,,§ 164.308(a)(7)(ii)(C),,,"IT/Security, Management",,,,,Security Rule,,,,Contingency planning,,,,Procedures for critical process continuation during emergency mode.,,,,,,,,,,
346,,Scenario: Physical and Technical Controls: The startup is moving into a new office and setting up its local network and workstations.,"The standard for ""Facility Access Controls"" requires policies to limit physical access to systems and facilities while:",,,A. Ensuring that properly authorized access is allowed.B. Allowing the media access during a crisis.C. Disclosing the floor plan in the NPP.D. Providing unique user IDs for all visitors.,,,,,,,,,,A. Ensuring that properly authorized access is allowed.,,,,,Facility Access Controls require limiting physical access to systems and facilities while ensuring properly authorized access is allowed.,,,,§ 164.310(a)(1),,,"Management, Clinical, IT",,,,,Security Rule,,,,Facility access controls,,,,Physical safeguards to limit facility access to ePHI systems.,,,,,,,,,,
347,,Scenario: Physical and Technical Controls: The startup is moving into a new office and setting up its local network and workstations.,"The ""Workstation Use"" standard specifically requires defining proper functions, the manner of performance, and the:",,,A. Operating system version.B. Physical attributes of the surroundings.C. Encryption level of the local drive.D. Internet speed of the connection.,,,,,,,,,,B. Physical attributes of the surroundings.,,,,,"Workstation Use requires specifying functions, manner of performance, and physical attributes of the surroundings.",,,,§ 164.310(b),,,"Management, IT/Security, Clinical",,,,,Security Rule,,,,Workstation use,,,,Rules for appropriate functions and physical attributes of workstations.,,,,,,,,,,
348,,Scenario: Physical and Technical Controls: The startup is moving into a new office and setting up its local network and workstations.,"The required specification to address the ""final disposition of electronic protected health information"" is:",,,A. Media Re-use.B. Accountability.C. Disposal.D. Data Backup and Storage.,,,,,,,,,,C. Disposal.,,,,,Disposal is the required implementation specification for the final disposition of ePHI and/or the hardware/media it is stored on.,,,,§ 164.310(d)(2)(i),,,"Admin, IT/Security Staff",,,,,Security Rule,,,,Device and media controls,,,,Policies for the final disposition of ePHI and media.,,,,,,,,,,
349,,Scenario: Physical and Technical Controls: The startup is moving into a new office and setting up its local network and workstations.,"""Unique user identification"" (Required) means the entity must assign a unique name and/or number for:",,,A. Identifying and tracking user identity.B. Assigning billing codes.C. Identifying business associates.D. Authenticating the facility address.,,,,,,,,,,A. Identifying and tracking user identity.,,,,,Unique user identification requires assigning a unique name/number for identifying and tracking user identity.,,,,§ 164.312(a)(2)(i),,,IT/Security Staff,,,,,Security Rule,,,,Technical access control,,,,Requirement to assign unique user IDs.,,,,,,,,,,
350,,Scenario: Physical and Technical Controls: The startup is moving into a new office and setting up its local network and workstations.,"""Transmission Security"" requires technical measures to guard against unauthorized access to ePHI that is being transmitted over:",,,A. The internal telephone network.B. An electronic communications network.C. Hard-copy courier services.D. Facsimile transmissions.,,,,,,,,,,B. An electronic communications network.,,,,,Transmission Security requires technical measures to guard against unauthorized access to ePHI transmitted over electronic communication networks.,,,,§ 164.312(e)(1),,,IT/Security Staff,,,,,Security Rule,,,,Transmission security,,,,Measures to guard against unauthorized access to ePHI during transmission.,,,,,,,,,,
351,,Scenario: Audit Inquiries and Management: A Covered Entity (CE) is selected for a Phase 2 OCR audit. Management must provide documentation of its personnel designations and verify consistency with the Audit Protocol requirements.,"According to the HHS Audit Protocol, ""Management"" specifically refers to the officials or persons designated for the implementation of:",,,A. Financial audits only.B. Policies and procedures and other standards.C. Clinical treatment protocols.D. IT procurement strategies.,,,,,,,B. Policies and procedures and other standards.,,,,,,,,"The Audit Protocol defines management as the appropriate officials or persons designated by the entity for the implementation of policies, procedures, and other standards.",,,,Audit Protocol,,,Management and Leadership,,,,,General Requirement,,,,Audit program protocol,,,,"OCR uses the audit program to assess HIPAA compliance efforts, examine mechanisms, and identify best practices.",,,,,,,,,,
352,,Scenario: Audit Inquiries and Management: A Covered Entity (CE) is selected for a Phase 2 OCR audit. Management must provide documentation of its personnel designations and verify consistency with the Audit Protocol requirements.,"When an auditor requests documentation of implementation that is unavailable, the entity must provide instances from:",,,A. The current month only.B. Equivalent previous time periods to complete the sample.C. Future planned implementation dates.D. A different legal entity under common control.,,,,,,,B. Equivalent previous time periods to complete the sample.,,,,,,,,"If the requested number of documentations is not available, the entity must provide instances from equivalent previous time periods or a statement that none exist.",,,,Audit Protocol,,,Management and Leadership,,,,,General Requirement,,,,Audit program protocol,,,,Requirements for entities to provide specified documents and statements regarding documentation availability.,,,,,,,,,,
353,,Scenario: Audit Inquiries and Management: A Covered Entity (CE) is selected for a Phase 2 OCR audit. Management must provide documentation of its personnel designations and verify consistency with the Audit Protocol requirements.,"The standard for ""Personnel Designations"" requires the organization to designate a privacy official and which other specific role?",,,A. A Chief Information Officer.B. A contact person or office for receiving complaints.C. A lead researcher for de-identification.D. A dedicated legal counsel for CMPs.,,,,,,,B. A contact person or office for receiving complaints.,,,,,,,,A covered entity must designate a privacy official and a contact person or office responsible for receiving complaints and providing NPP information.,,,,§ 164.530(a)(1),,,Management and Leadership,,,,,Privacy Rule,,,,Privacy official and contact person,,,,Designation of a privacy official and a contact person/office for complaints and NPP inquiries.,,,,,,,,,,
354,,Scenario: Audit Inquiries and Management: A Covered Entity (CE) is selected for a Phase 2 OCR audit. Management must provide documentation of its personnel designations and verify consistency with the Audit Protocol requirements.,Documentation of the personnel designations for the Privacy Official and contact person must be retained for:,,,A. 2 years.B. 6 years.C. 10 years.D. 50 years after death.,,,,,,,B. 6 years.,,,,,,,,Personnel designations must be documented and maintained for a period of six years.,,,,§ 164.530(a)(2),,,Management and Leadership,,,,,Privacy Rule,,,,Privacy documentation and retention,,,,"Requirements to maintain policies, procedures, and required privacy documentation for at least six years.",,,,,,,,,,
355,,Scenario: Audit Inquiries and Management: A Covered Entity (CE) is selected for a Phase 2 OCR audit. Management must provide documentation of its personnel designations and verify consistency with the Audit Protocol requirements.,"Under the Security Rule, the ""Assigned Security Responsibility"" standard requires identifying a single security official responsible for:",,,A. Only the technical safeguards.B. Only physical security plans.C. Development and implementation of Security Rule policies and procedures.D. Filing breach reports to the media.,,,,,,,C. Development and implementation of Security Rule policies and procedures.,,,,,,,,The standard requires identifying the security official responsible for the development and implementation of the policies and procedures required by Subpart C.,,,,§ 164.308(a)(2),,,Management and Leadership,,,,,Security Rule,,,,Assigned security responsibility,,,,Designation of a security official responsible for Security Rule implementation.,,,,,,,,,,
356,,Scenario: Workforce Sanctions and Mitigation: Management discovers that a workforce member snooped into medical records. They must apply the sanction policy and mitigate any harmful effects of the disclosure.,"The CE must apply appropriate sanctions against workforce members who fail to comply with privacy policies, EXCEPT in which situation?",,,A. When the member is a volunteer.B. When the member is a whistleblower under § 164.502(j).C. When the member is a part-time contractor.D. When the violation involves fewer than 10 records.,,,,,,,B. When the member is a whistleblower under § 164.502(j).,,,,,,,,The sanction standard does not apply to workforce members with respect to actions that meet the whistleblower or crime victim conditions.,,,,§ 164.530(e)(1),,,Management and Leadership,,,,,Privacy Rule,,,,Privacy sanctions,,,,Duty to have and apply sanctions against workforce members who violate privacy or breach-related policies.,,,,,,,,,,
357,,Scenario: Workforce Sanctions and Mitigation: Management discovers that a workforce member snooped into medical records. They must apply the sanction policy and mitigate any harmful effects of the disclosure.,"To comply with the ""Mitigation"" standard, the organization must mitigate, to the extent practicable, harmful effects known to the CE caused by:",,,A. Only the CE's own workforce.B. Only the CE's business associates.C. Either the CE or its business associate.D. Only intentional violations of the Privacy Rule.,,,,,,,C. Either the CE or its business associate.,,,,,,,,The entity must mitigate any harmful effect known to the entity of a use or disclosure of PHI in violation of its policies by the entity or its business associate.,,,,§ 164.530(f),,,Management and Leadership,,,,,Privacy Rule,,,,Mitigation of harmful effects,,,,Obligation to mitigate harmful effects from known improper uses/disclosures of PHI.,,,,,,,,,,
358,,Scenario: Workforce Sanctions and Mitigation: Management discovers that a workforce member snooped into medical records. They must apply the sanction policy and mitigate any harmful effects of the disclosure.,Documentation of any sanctions applied against workforce members must be maintained for how many years?,,,A. 3 years.B. 6 years.C. 10 years.D. Permanently in the personnel file.,,,,,,,B. 6 years.,,,,,,,,"Required documentation, including records of actions like sanctions, must be retained for six years from the date of creation or last effect.",,,,§ 164.530(j)(2),,,Management and Leadership,,,,,Privacy Rule,,,,Privacy documentation and retention,,,,"Requirements to maintain policies, procedures, and required privacy documentation for at least six years.",,,,,,,,,,
359,,Scenario: Workforce Sanctions and Mitigation: Management discovers that a workforce member snooped into medical records. They must apply the sanction policy and mitigate any harmful effects of the disclosure.,"If a workforce member is the victim of a criminal act and discloses limited PHI about the suspected perpetrator to law enforcement, this is:",,,A. A violation requiring immediate sanction.B. Not considered a violation of the Privacy Rule.C. Permitted only if the victim obtains a court order.D. Permitted only for healthcare operations.,,,,,,,B. Not considered a violation of the Privacy Rule.,,,,,,,,An entity is not considered to have violated HIPAA if a workforce member who is a crime victim discloses PHI about the suspected perpetrator to law enforcement.,,,,§ 164.502(j)(2),,,"All Staff, Management",,,,,Privacy Rule,,,,Uses and disclosures – general,,,,Permitted and required uses and disclosures of PHI: OCR reviews policies and actual disclosures.,,,,,,,,,,
360,,Scenario: Workforce Sanctions and Mitigation: Management discovers that a workforce member snooped into medical records. They must apply the sanction policy and mitigate any harmful effects of the disclosure.,"When a CE applies sanctions, the OCR audit protocol directs auditors to evaluate if the process is:",,,A. Publicly disclosed in the media.B. Reasonable and appropriate and includes required steps and time periods.C. Approved by the individual who was the subject of the snooping.D. Consistent with state-mandated minimum penalties.,,,,,,,B. Reasonable and appropriate and includes required steps and time periods.,,,,,,,,"Auditors evaluate if sanction policies contain a reasonable process, including involved personnel, required steps, notification, and documentation.",,,,§ 164.308(a)(1)(ii)(C),,,Management and Leadership,,,,,Security Rule,,,,Security sanction policy,,,,Requirement to apply sanctions against workforce members who fail to comply with security policies and procedures.,,,,,,,,,,
361,,"Scenario: Hybrid and Affiliated Entities: A large corporation has multiple divisions. Some perform HIPAA-covered functions (like a health plan), while others do not (like a retail division). Management is designating health care components.","A ""Hybrid Entity"" is a single legal entity that performs both:",,,A. Research and Treatment functions.B. Covered and non-covered functions.C. Payment and Health Care Operations only.D. Domestic and international healthcare.,,,,,,,B. Covered and non-covered functions.,,,,,,,,A hybrid entity is a single legal entity whose business activities include both covered and non-covered functions and which designates healthcare components.,,,,§ 164.103,,,Management and Leadership,,,,,General Requirement,,,,Organizational requirements,,,,"Requirements for hybrid entities, affiliated covered entities, and documentation of designations.",,,,,,,,,,
362,,"Scenario: Hybrid and Affiliated Entities: A large corporation has multiple divisions. Some perform HIPAA-covered functions (like a health plan), while others do not (like a retail division). Management is designating health care components.",The Hybrid Entity must ensure that its health care component (HCC) does not disclose PHI to another component if Subpart E would prohibit it if they were:,,,A. Under common control.B. Separate and distinct legal entities.C. Both business associates.D. Participating in an OHCA.,,,,,,,B. Separate and distinct legal entities.,,,,,,,,The entity must ensure its HCC does not disclose PHI to another component in circumstances where Subpart E would prohibit it if they were separate and distinct legal entities.,,,,§ 164.105(a)(2)(ii)(A),,,Management and Leadership,,,,,Privacy Rule,,,,Uses and disclosures – general,,,,Permitted and required uses and disclosures of PHI: OCR reviews policies and actual disclosures.,,,,,,,,,,
363,,"Scenario: Hybrid and Affiliated Entities: A large corporation has multiple divisions. Some perform HIPAA-covered functions (like a health plan), while others do not (like a retail division). Management is designating health care components.","If two legally separate CEs are under common ownership or control, they may designate themselves as a(n):",,,A. Hybrid Entity.B. Affiliated Covered Entity (ACE).C. Organized Health Care Arrangement (OHCA).D. Business Associate Group.,,,,,,,B. Affiliated Covered Entity (ACE).,,,,,,,,Legally separate covered entities may designate themselves as a single affiliated covered entity if all are under common ownership or control.,,,,§ 164.105(b)(1),,,Management and Leadership,,,,,General Requirement,,,,Organizational requirements,,,,Requirements for hybrid entities and affiliated covered entities.,,,,,,,,,,
364,,"Scenario: Hybrid and Affiliated Entities: A large corporation has multiple divisions. Some perform HIPAA-covered functions (like a health plan), while others do not (like a retail division). Management is designating health care components.","""Common ownership"" exists if an entity possesses an equity interest of what percentage in another entity?",,,A. 1 percent.B. 5 percent or more.C. 50 percent or more.D. 100 percent.,,,,,,,B. 5 percent or more.,,,,,,,,Common ownership exists if an entity or entities possess an ownership or equity interest of 5 percent or more in another entity.,,,,§ 164.103,,,Management and Leadership,,,,,General Requirement,,,,Definitions,,,,"Key definitions, including PHI, covered entity, and business associate.",,,,,,,,,,
365,,"Scenario: Hybrid and Affiliated Entities: A large corporation has multiple divisions. Some perform HIPAA-covered functions (like a health plan), while others do not (like a retail division). Management is designating health care components.",A member of an Affiliated Covered Entity (ACE) is jointly and severally liable for a CMP for a violation of the ACE unless:,,,A. The violation was unintentional.B. It is established that another member of the ACE was responsible.C. The ACE has fewer than 50 employees.D. The CE corrected the violation within 30 days.,,,,,,,B. It is established that another member of the ACE was responsible.,,,,,,,,A member of an ACE is jointly and severally liable for a CMP unless it is established that another member was responsible for the violation.,,,,§ 160.402(b)(2),,,Management and Leadership,,,,,General Requirement,,,,Imposition of Civil Money Penalties,,,,Factors considered in determining the amount of a civil money penalty.,,,,,,,,,,
366,,Scenario: Group Health Plans and Plan Sponsors: A company sponsors a Group Health Plan (GHP). Management must ensure that plan documents protect the ePHI used by the Plan Sponsor for administrative tasks.,"A GHP may disclose ""Summary Health Information"" to a Plan Sponsor for the purpose of:",,,"A. Marketing the Plan Sponsor's products.B. Modifying, amending, or terminating the group health plan.C. Employment-related performance reviews.D. Identifying candidates for new hires.",,,,,,,"B. Modifying, amending, or terminating the group health plan.",,,,,,,,"A GHP may disclose summary health information for purposes of obtaining premium bids or modifying, amending, or terminating the plan.",,,,§ 164.504(f)(1)(ii),,,Management and Leadership,,,,,Privacy Rule,,,,Underwriting and related purposes,,,,"Limits on using PHI received for underwriting, rating, or similar purposes.",,,,,,,,,,
367,,Scenario: Group Health Plans and Plan Sponsors: A company sponsors a Group Health Plan (GHP). Management must ensure that plan documents protect the ePHI used by the Plan Sponsor for administrative tasks.,The GHP is prohibited from disclosing PHI to the Plan Sponsor for the purpose of:,,,A. Plan administration functions.B. Employment-related actions or decisions.C. Enrollment or disenrollment information.D. Obtaining premium bids.,,,,,,,B. Employment-related actions or decisions.,,,,,,,,Plan documents must restrict the Plan Sponsor from using PHI for employment-related actions or decisions.,,,,§ 164.504(f)(2)(ii)(C),,,Management and Leadership,,,,,Privacy Rule,,,,Underwriting and related purposes,,,,"Limits on using PHI received for underwriting, rating, or similar purposes.",,,,,,,,,,
